Date and time: 2022-12-21 16:44:05.880708
Program settings and initial information: 
path_to_file_folder_fixed = C:/Users/dasha/plants/for_git/plants/wheat_fe_nanoparticles/raw_data
paper_area = 6241mm2; paper_area_threshold = 5000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/11
contour_area_threshold = 1000 pixels 
template_filename = C:/Users/dasha/plants/for_git/plants/wheat_fe_nanoparticles/raw_data/template/template.jpg
leaves parameters[0, 71, 0, 255, 120, 255]
roots parameters[51, 255, 0, 255, 134, 255]
seeds parameters[0, 31, 35, 255, 156, 255]
blur parameters[5, 3, 130]

,1,2,3,4,5
0,48.81201975709448,137.42928504939394,66.88273352778464,152.6090935460908,150.21215228847925
1,,73.46704959369237,59.45419632209242,141.0779183206759,
2,,119.64060392530163,45.280537718372315,92.01918221733811,
3,,93.25726889807225,81.34061286227296,,98.82389780462906
4,159.37219400988596,165.22435464891126,156.7970716576263,107.05488085044678,163.24501665692637
5,28.105109505505975,127.37170476543236,101.40927359292637,84.11778736664323,74.6208976221907
6,38.829660078453415,41.215467276896135,109.74215658402967,64.72338351218954,87.8527953883265
7,105.17261144294288,153.03690386663354,138.97269821316266,100.32524558508494,
8,,73.54344951635007,80.66710526207413,87.90582939463121,117.62351012265097
9,22.6367875299304,108.84245883313952,,42.704832829050055,
10,161.63917426574451,145.1367121088865,99.32420615067069,83.45013179150637,107.72164049881772
11,95.26884712152274,44.15919633421637,101.36663479534,,121.45583086501983
12,31.77899480948835,158.87845629175698,151.13517277983942,122.26223314162552,85.13131660472311
13,108.69603423957867,76.48551031334996,131.02099571987364,99.89725038350534,88.70103811328559
14,125.01914781514364,88.10747534475499,81.53278785340517,84.44178981961747,
15,111.56410485043061,104.05416904251055,50.79856467186846,83.66066724772296,57.64361707989521
16,45.65954295709013,107.55489654343768,106.46067733603608,99.41453993157067,83.51380829814673
17,83.13654366212441,130.24407070394878,93.16847138430246,39.983963973784334,98.63107579082417
18,109.96353102438617,,127.49000478325853,123.4732434716765,137.1544831538998
19,92.65629849955782,18.328496151733397,43.055710273885296,92.84953842170987,89.62267105512322
20,137.99812780717593,44.63541146292408,124.84201722679465,133.6878501904126,49.99220097063211
21,54.20083834014582,132.6558208750492,81.45732073517917,125.0937699443303,130.3844291818806
22,104.79675486541582,183.04411221873934,45.15799110033406,164.05729305951584,102.82321133273568
23,37.97661550607708,,138.09181068364194,165.98835240282054,39.275105832789656
24,170.50070086830394,,70.89180265374178,38.82382894358568,118.71856954213452
25,116.17941009084055,134.90424527123858,106.17060599007148,23.715969405175528,61.496396082586365
26,127.7131631215979,19.057250889148495,,69.21865626126113,102.08555248336077
27,85.99646082408434,11.615712304349895,67.7720377916392,97.0241757198916,143.34626990872516
