Date and time: 2022-12-21 16:44:05.880708
Program settings and initial information: 
path_to_file_folder_fixed = C:/Users/dasha/plants/for_git/plants/wheat_fe_nanoparticles/raw_data
paper_area = 6241mm2; paper_area_threshold = 5000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/11
contour_area_threshold = 1000 pixels 
template_filename = C:/Users/dasha/plants/for_git/plants/wheat_fe_nanoparticles/raw_data/template/template.jpg
leaves parameters[0, 71, 0, 255, 120, 255]
roots parameters[51, 255, 0, 255, 134, 255]
seeds parameters[0, 31, 35, 255, 156, 255]
blur parameters[5, 3, 130]

,1,2,3,4,5
0,310.49663089357034,354.6285403371453,428.40118768236715,267.21019411549264,358.81682806734756
1,439.49123653776996,374.336020350178,310.16008804779557,286.18805216659655,
2,,346.06630861526105,,227.56521630200075,
3,350.0888396772219,357.9325881191388,295.3954956967008,468.18665217711293,325.39113659778536
4,343.4737303254214,,302.5263587194003,347.71934978214995,360.6340383200879
5,426.67730426966017,276.3428593918499,234.40944621927895,250.71731984788568,345.6441688282686
6,326.4240783853526,195.88277771240655,283.57359900373604,220.21792516176293,
7,256.1188682578439,392.7793379680161,348.0108919006928,358.2998698770191,290.7944943268395
8,,313.5250827591744,317.42254584902895,228.64020444050544,
9,386.88537782572763,385.0235335656996,,460.62264472981633,319.05130928976456
10,401.35435434485555,310.40651133238447,313.39435958685743,279.6814420074304,299.0761607451007
11,249.11509762022516,385.63183532614283,294.95107930435125,342.3921279720403,258.979721805345
12,324.29779367693175,314.58243874024924,,229.2087443535588,303.27114999559245
13,259.583924819715,,333.29539227895395,264.4507049143438,282.38503192333366
14,355.26673669865426,347.18248653680376,281.0957316261335,267.18341551561883,
15,335.97267175187227,343.2330432236647,222.97123151808339,,274.3325273947032
16,334.27442241510204,372.52972712077434,353.3821343960387,381.3242603586814,
17,149.6864737590241,243.75337542163575,,,237.03096621654336
18,366.3116044896182,,294.6076666375357,264.94344097179834,283.4460388620937
19,258.30421643038756,254.45237049456478,192.91711576991676,,272.63948670805576
20,327.7431624174285,277.1269763610803,310.37260273972606,448.152782323162,
21,,358.9447967983323,274.8887598472246,287.373647280625,310.2115500779501
22,240.36646591426694,,112.08590021144715,,248.16128543608664
23,192.95597836398645,328.6598889565544,309.5497593722022,304.46258159055844,91.20624103019789
24,341.17025659467885,,204.43154048079137,287.76335917470396,251.75336863579696
25,297.75861046441935,301.4261238168505,251.2366668932413,219.89728437578472,294.6259082723621
26,273.503214531322,232.6994340409789,333.5547032034414,135.31168877941693,
27,366.80380002397493,133.38426714394535,320.8993773349938,248.94770763880302,354.1703526742582
28,217.30897312617037,293.09631552553174,321.701340553963,294.62551685407135,230.8907726015589
29,177.6010307899509,311.46202994914034,279.75223627840387,324.1416778033379,86.04068132235382
