Date and time: 2022-12-21 16:44:05.880708
Program settings and initial information: 
path_to_file_folder_fixed = C:/Users/dasha/plants/for_git/plants/wheat_fe_nanoparticles/raw_data
paper_area = 6241mm2; paper_area_threshold = 5000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/11
contour_area_threshold = 1000 pixels 
template_filename = C:/Users/dasha/plants/for_git/plants/wheat_fe_nanoparticles/raw_data/template/template.jpg
leaves parameters[0, 71, 0, 255, 120, 255]
roots parameters[51, 255, 0, 255, 134, 255]
seeds parameters[0, 31, 35, 255, 156, 255]
blur parameters[5, 3, 130]

,1,2,3,4,5
0,70.01036452976416,61.65259361951238,51.53307861969073,83.6702291403992,87.81938288654746
1,,86.22038666129706,60.25385947068042,55.60824928159686,107.62101940840328
2,,107.28908997258817,76.85910675623406,48.64296846978317,
3,83.9747021149351,69.96037309401912,67.56828124187413,,80.14479254084733
4,88.34464656696633,109.40793039105306,90.53253887528508,65.32831023712221,53.46336882078469
5,63.53320581519814,67.28625738303656,68.6271447152691,86.9896059368939,74.4309376603294
6,69.03414222789077,108.35666254725369,101.22682533630646,46.345687021884366,72.46908455209963
7,96.66680930770148,71.57475674542674,84.44513255221727,60.17918245067459,59.157236737700096
8,61.06168583203942,68.21879163395919,81.52361640261424,52.97805816405545,
9,71.34931163187491,87.73782296083388,99.78310294361638,64.46974870807124,62.564839779807066
10,82.40827891666703,74.25370353358527,68.90576720294558,65.61167488837172,66.06383862022304
11,86.70998360399943,84.66806136611453,75.17693778895378,58.33632386936261,81.39623382737567
12,48.66160815440221,55.37658982623909,83.62479229723512,66.41317628031791,125.51116293951347
13,49.246369544265626,70.23840986744898,82.0107884025862,90.69829743188284,69.00600393861893
14,68.8938289306796,57.24114994280218,84.57472698515397,40.968801563200266,
15,60.43494158452109,72.45801692159209,79.18002471289503,55.20235850429358,49.79123117733487
16,69.10756214236203,74.23900764644719,53.801092766122615,57.23848446202416,54.12453970339502
17,40.80667044250333,52.9340680058867,93.04212021322688,65.53820932783078,97.23491397560332
18,84.53686544408596,94.30944855153015,39.323070037223154,84.61350968025897,76.61363881526012
19,67.58610900067158,56.65362691948797,114.6983655073463,60.77531862430331,68.14587539527072
20,72.60433612359694,86.57341996910232,55.183395775010126,68.9108043952387,
21,112.3744436194085,77.24061167578533,48.649592982806965,45.24575131815747,44.45187884732126
22,45.14189105655071,83.38336751854715,49.75640579643297,62.876405238600796,72.16760422876582
23,45.56708070956227,117.79817935887368,89.92178017505113,62.01885680790852,24.732009298197948
24,67.07695162063766,,60.47373550153486,46.62552584188054,90.51206436553534
25,68.55209815843952,53.9943316916722,53.4690521733131,76.71230358494009,56.01515949640578
26,53.34023230585761,47.968589940809935,104.06986523093794,27.109322348772437,
