Date and time: 2022-12-21 16:44:05.880708
Program settings and initial information: 
path_to_file_folder_fixed = C:/Users/dasha/plants/for_git/plants/wheat_fe_nanoparticles/raw_data
paper_area = 6241mm2; paper_area_threshold = 5000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/11
contour_area_threshold = 1000 pixels 
template_filename = C:/Users/dasha/plants/for_git/plants/wheat_fe_nanoparticles/raw_data/template/template.jpg
leaves parameters[0, 71, 0, 255, 120, 255]
roots parameters[51, 255, 0, 255, 134, 255]
seeds parameters[0, 31, 35, 255, 156, 255]
blur parameters[5, 3, 130]

,1,2,3,4,5
0,140.02072905952832,154.13148404878095,240.4877002252234,111.56030552053227,146.36563814424574
1,240.93951797267127,258.66115998389114,180.76157841204125,148.28866475092497,107.62101940840328
2,,178.81514995431363,333.05612927701424,81.07161411630528,
3,125.96205317240262,256.52136801140347,180.18208331166434,265.7834848810992,187.0045159286438
4,265.033939700899,,120.71005183371345,130.65662047424442,142.56898352209248
5,190.59961744559442,134.5725147660731,137.2542894305382,231.97228249838375,198.48250042754512
6,161.07966519841176,216.71332509450738,236.1959257847151,123.58849872502495,289.8763382083985
7,128.8890790769353,143.14951349085348,253.33539765665182,200.59727483558194,157.7526313005336
8,,227.39597211319725,217.39631040697128,105.9561163281109,
9,166.48172714104143,204.72158690861238,332.6103431453879,300.85882730433246,145.98462615288315
10,192.28598413888972,173.25864157836563,183.7487125411882,109.35279148061954,176.17023632059477
11,130.06497540599915,197.55880985426722,175.41285484089212,155.5635303183003,162.79246765475133
12,129.76428841173922,166.12976947871724,,110.68862713386318,251.02232587902694
13,73.86955431639844,351.19204933724484,164.0215768051724,120.93106324251045,115.01000656436489
14,206.68148679203878,95.40191657133698,197.34102963202594,150.21893906506762,
15,181.30482475356328,241.5267230719736,184.75339099675506,,99.58246235466974
16,184.28683237963207,197.97068705719252,233.138068653198,152.63595856539777,
17,95.2155643658411,88.22344667647783,,,145.852370963405
18,211.3421636102149,,65.53845006203859,169.22701936051794,127.68939802543352
19,157.70092100156705,169.9608807584639,229.3967310146926,243.10127449721324,159.00704258896502
20,145.20867224719387,202.00464659457205,183.94465258336706,252.67294944920857,
21,,205.9749644687609,121.62398245701743,120.65533684841992,162.99022244017797
22,105.33107913195165,,74.63460869464946,,120.27934038127638
23,106.32318832231196,314.12847829032984,239.79141380013633,124.03771361581704,41.220015496996574
24,167.69237905159414,,151.18433875383715,170.96026142022865,150.8534406092256
25,159.95489570302556,125.98677394723515,89.11508695552185,178.9953750315269,168.04547848921734
26,142.24061948228697,127.91623984215983,173.44977538489655,72.29152626339317,
27,162.6652054568979,84.02745622201047,196.8171028139779,151.13201981639807,254.3827326970499
28,163.7023529064237,195.75374681507705,191.8104619882459,114.95519782629573,182.01557651285955
